mode,angle,cam,psnr_vs_ref,ssim_vs_ref,lpips_alex_vs_ref
from_init,5,8,54.0053,0.99985,0.00005
from_init,10,8,43.9833,0.99852,0.00040
from_init,15,8,39.1017,0.99582,0.00101
from_init,22,8,35.1763,0.99062,0.00227
from_init,30,8,32.3225,0.98538,0.00446
from_init,45,8,29.1592,0.97940,0.01250
from_init,60,8,24.5958,0.95847,0.02952
from_init,75,8,23.6383,0.94332,0.03087
from_init,90,8,20.2286,0.92109,0.05049
from_init,110,8,17.1505,0.88283,0.09522
from_init,135,8,15.2348,0.85676,0.12856
progressive_N2,5,8,56.1560,0.99991,0.00003
progressive_N2,10,8,45.2661,0.99890,0.00034
progressive_N2,15,8,40.0698,0.99664,0.00082
progressive_N2,22,8,36.0033,0.99200,0.00192
progressive_N2,30,8,33.0845,0.98713,0.00385
progressive_N2,45,8,29.8811,0.98166,0.01086
progressive_N2,60,8,24.8636,0.95918,0.02648
progressive_N2,75,8,23.6726,0.94493,0.02906
progressive_N2,90,8,20.3155,0.92333,0.04707
progressive_N2,110,8,17.1785,0.88645,0.08798
progressive_N2,135,8,15.3368,0.86644,0.10989
progressive_N4,5,8,66.6041,0.99999,0.00000
progressive_N4,10,8,50.1500,0.99964,0.00012
progressive_N4,15,8,43.6704,0.99854,0.00036
progressive_N4,22,8,38.6640,0.99569,0.00110
progressive_N4,30,8,35.3538,0.99186,0.00240
progressive_N4,45,8,32.0705,0.98803,0.00570
progressive_N4,60,8,26.2353,0.96668,0.01830
progressive_N4,75,8,24.4189,0.95314,0.02095
progressive_N4,90,8,21.0275,0.93257,0.03708
progressive_N4,110,8,17.4900,0.89449,0.07324
progressive_N4,135,8,15.6091,0.87946,0.09137
progressive_N8,5,8,62.2067,0.99997,0.00001
progressive_N8,10,8,62.9572,0.99998,0.00001
progressive_N8,15,8,51.3325,0.99976,0.00007
progressive_N8,22,8,43.9352,0.99886,0.00038
progressive_N8,30,8,39.5639,0.99705,0.00104
progressive_N8,45,8,35.2100,0.99455,0.00260
progressive_N8,60,8,28.7763,0.98010,0.00938
progressive_N8,75,8,25.5819,0.96501,0.01346
progressive_N8,90,8,21.8483,0.94335,0.02750
progressive_N8,110,8,17.9602,0.90795,0.05493
progressive_N8,135,8,15.9578,0.89535,0.08248
