mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
iterative,,5.0,5,0.5052,0.000319,0.000488,0.001776,0.031322,0.002493,0.008822,0.021080,0.002537,0.052158,2.238341,0.000000
iterative,,10.0,10,0.9065,0.001071,0.000879,0.003041,0.060593,0.004265,0.015931,0.047926,0.004069,0.084005,3.661682,0.000000
iterative,,15.0,15,1.3440,0.002296,0.001291,0.004383,0.090520,0.006256,0.023618,0.080651,0.005833,0.126481,5.129336,0.000000
iterative,,22.0,22,1.9613,0.004825,0.001893,0.006303,0.135474,0.009208,0.034521,0.135474,0.008435,0.189083,7.244951,0.000000
iterative,,30.0,30,2.6679,0.008893,0.002594,0.008465,0.209325,0.012667,0.051551,0.209325,0.011316,0.254273,9.672856,0.000000
iterative,,45.0,45,3.9927,0.019943,0.003888,0.012585,0.371845,0.019111,0.082781,0.371845,0.016234,0.359403,14.008401,0.000000
iterative,,60.0,60,5.3122,0.035334,0.005085,0.015305,0.550895,0.025471,0.117601,0.550895,0.020270,0.434270,17.761700,0.000000
iterative,,75.0,75,6.6570,0.054496,0.006147,0.018221,0.727453,0.032113,0.144639,0.727453,0.023315,0.491610,20.696207,0.000000
iterative,,90.0,90,7.9854,0.076284,0.006991,0.020618,0.882165,0.038366,0.154919,0.882165,0.025424,0.527318,22.692396,0.000000
iterative,,110.0,110,9.7365,0.106845,0.007773,0.023176,1.027336,0.044639,0.178079,1.027336,0.027024,0.535736,23.935019,0.000000
iterative,,135.0,135,12.0698,0.143380,0.008507,0.026732,1.092948,0.048454,0.183065,1.092948,0.028131,0.552816,23.695805,0.000000
from_init,,5.0,1,0.1654,0.000506,0.000638,0.002613,0.035445,0.003931,0.011584,0.027582,0.004193,0.082176,3.375908,0.000000
from_init,,10.0,1,0.1142,0.002021,0.001276,0.005029,0.074187,0.007897,0.023229,0.059324,0.008491,0.164361,6.807422,0.000000
from_init,,15.0,1,0.1136,0.004532,0.001914,0.007559,0.115605,0.011913,0.034880,0.102612,0.012943,0.249403,10.164045,0.000000
from_init,,22.0,1,0.1136,0.009693,0.002816,0.011094,0.178799,0.017673,0.051078,0.178799,0.019395,0.371984,14.699114,0.000000
from_init,,30.0,1,0.1136,0.017872,0.003848,0.015278,0.280512,0.024513,0.070529,0.280512,0.027057,0.504986,19.619085,0.000000
from_init,,45.0,1,0.1143,0.039375,0.005721,0.021808,0.494519,0.037663,0.113309,0.494519,0.042489,0.803319,28.059689,0.000000
from_init,,60.0,1,0.1144,0.068152,0.007486,0.028935,0.715716,0.051235,0.155700,0.715716,0.059086,1.139835,35.530369,0.000000
from_init,,75.0,1,0.1139,0.103366,0.009124,0.035913,0.927014,0.065190,0.198376,0.927014,0.098955,1.885481,42.159008,0.000000
from_init,,90.0,1,0.1140,0.144719,0.010640,0.044576,1.121225,0.079613,0.215887,1.121225,0.148614,2.470857,49.780399,0.000000
from_init,,110.0,1,0.1139,0.211227,0.012592,0.055402,1.357322,0.100912,0.267828,1.357322,0.169644,2.969213,55.478619,0.000000
from_init,,135.0,1,0.1138,0.325460,0.015559,0.079414,1.653539,0.136453,0.350456,1.653539,0.211278,4.035949,65.162949,0.000000
progressive,_N2,5.0,2,0.2510,0.000456,0.000602,0.002368,0.034422,0.003551,0.011013,0.025446,0.003735,0.073469,3.099782,0.000000
progressive,_N2,10.0,2,0.2021,0.001817,0.001204,0.004717,0.071563,0.007132,0.022128,0.056211,0.007553,0.146090,6.274053,0.000000
progressive,_N2,15.0,2,0.2015,0.004072,0.001807,0.007059,0.110867,0.010767,0.033420,0.098920,0.011460,0.220139,9.391368,0.000000
progressive,_N2,22.0,2,0.2029,0.008698,0.002655,0.010331,0.171609,0.015954,0.049307,0.171609,0.017107,0.331031,13.615516,0.000000
progressive,_N2,30.0,2,0.2024,0.016001,0.003622,0.014235,0.268425,0.022083,0.067445,0.268425,0.023724,0.452916,18.204632,0.000000
progressive,_N2,45.0,2,0.2019,0.035028,0.005357,0.020435,0.471577,0.033679,0.099772,0.471577,0.036710,0.691615,26.049538,0.000000
progressive,_N2,60.0,2,0.2014,0.060026,0.006948,0.026231,0.680213,0.045280,0.134165,0.680213,0.050281,0.965464,32.887039,0.000000
progressive,_N2,75.0,2,0.2026,0.089699,0.008359,0.031811,0.876460,0.056730,0.166174,0.876460,0.064115,1.241541,38.761040,0.000000
progressive,_N2,90.0,2,0.2032,0.122834,0.009578,0.037517,1.050611,0.067788,0.198462,1.050611,0.131585,2.136387,47.360790,0.000000
progressive,_N2,110.0,2,0.2105,0.170953,0.010938,0.045823,1.243294,0.081983,0.232960,1.243294,0.141879,2.440360,49.168358,0.000000
progressive,_N2,135.0,2,0.2141,0.236350,0.012532,0.056607,1.428437,0.099353,0.278634,1.428437,0.187202,3.102702,64.620163,0.000000
progressive,_N4,5.0,4,0.4201,0.000346,0.000515,0.001914,0.032041,0.002730,0.009258,0.021466,0.002810,0.056070,2.448692,0.000000
progressive,_N4,10.0,4,0.3834,0.001384,0.001031,0.003764,0.065858,0.005507,0.018930,0.051815,0.005674,0.112559,5.023607,0.000000
progressive,_N4,15.0,4,0.3786,0.003108,0.001549,0.005693,0.101046,0.008342,0.028458,0.090074,0.008583,0.168527,7.589688,0.000000
progressive,_N4,22.0,4,0.3787,0.006652,0.002277,0.008371,0.154771,0.012392,0.042319,0.154771,0.012697,0.249477,11.111829,0.000000
progressive,_N4,30.0,4,0.3788,0.012262,0.003107,0.011323,0.240835,0.017188,0.052471,0.240835,0.017430,0.340224,14.978979,0.000000
progressive,_N4,45.0,4,0.3781,0.026895,0.004596,0.016563,0.421718,0.026260,0.086797,0.421718,0.026334,0.499948,21.623365,0.000000
progressive,_N4,60.0,4,0.3787,0.046038,0.005947,0.020843,0.607228,0.035357,0.121219,0.607228,0.035200,0.661728,27.355474,0.000000
progressive,_N4,75.0,4,0.3766,0.068455,0.007103,0.024973,0.779570,0.044030,0.136295,0.779570,0.044114,0.847839,32.144047,0.000000
progressive,_N4,90.0,4,0.3800,0.092887,0.008060,0.028731,0.927974,0.051985,0.154900,0.927974,0.052992,1.017297,36.033058,0.000000
progressive,_N4,110.0,4,0.3782,0.126841,0.009063,0.034378,1.080950,0.061373,0.176446,1.080950,0.064825,1.270960,39.966404,0.000000
progressive,_N4,135.0,4,0.3821,0.169268,0.010237,0.041727,1.203301,0.071642,0.201539,1.203301,0.110165,1.904974,43.236340,0.000000
progressive,_N8,5.0,8,0.7826,0.000279,0.000450,0.001568,0.030116,0.002192,0.008123,0.020432,0.002133,0.044518,1.872036,0.000000
progressive,_N8,10.0,8,0.7260,0.001116,0.000902,0.003122,0.061513,0.004430,0.016402,0.048622,0.004296,0.088727,3.915002,0.000000
progressive,_N8,15.0,8,0.7265,0.002514,0.001354,0.004647,0.093914,0.006692,0.024514,0.083837,0.006475,0.132674,5.991089,0.000000
progressive,_N8,22.0,8,0.7259,0.005406,0.001993,0.006845,0.143253,0.009949,0.036918,0.143253,0.009516,0.192472,8.888317,0.000000
progressive,_N8,30.0,8,0.7223,0.010020,0.002722,0.009254,0.222539,0.013774,0.052035,0.222539,0.012940,0.258706,12.113728,0.000000
progressive,_N8,45.0,8,0.7268,0.022200,0.004035,0.013707,0.390744,0.020954,0.083013,0.390744,0.019109,0.374460,17.703428,0.000000
progressive,_N8,60.0,8,0.7246,0.038325,0.005224,0.017375,0.565201,0.028073,0.107078,0.565201,0.024846,0.467744,22.495367,0.000000
progressive,_N8,75.0,8,0.7239,0.057299,0.006238,0.020070,0.728027,0.034735,0.146749,0.728027,0.030156,0.560818,26.401651,0.000000
progressive,_N8,90.0,8,0.7250,0.077882,0.007074,0.022347,0.867268,0.041252,0.172275,0.867268,0.035102,0.657290,29.453091,0.000000
progressive,_N8,110.0,8,0.7265,0.105994,0.007960,0.026626,1.006593,0.048895,0.191184,1.006593,0.041294,0.790607,32.376839,0.000000
progressive,_N8,135.0,8,0.7279,0.139857,0.008912,0.031397,1.107852,0.056315,0.199855,1.107852,0.048789,0.978263,34.616364,0.000000
