scene,mode,angle,edge_region_p95,gs_p95,arap_error,solve_time_s
jumpingjacks,from_init,45,0.074661,1.702756,0.009333,0.1178
jumpingjacks,from_init,90,0.188769,10.199335,0.04342,0.1195
jumpingjacks,from_init,135,0.268928,12.158571,0.0928,0.1192
jumpingjacks,progressive_N2,45,0.068567,1.560034,0.008503,0.2079
jumpingjacks,progressive_N2,90,0.173579,9.704632,0.040188,0.209
jumpingjacks,progressive_N2,135,0.270704,9.164062,0.090483,0.2087
jumpingjacks,progressive_N4,45,0.057818,1.194089,0.006699,0.3897
jumpingjacks,progressive_N4,90,0.140367,9.509482,0.032663,0.3911
jumpingjacks,progressive_N4,135,0.207318,11.390669,0.073434,0.3896
jumpingjacks,progressive_N8,45,0.048162,0.743278,0.005215,0.7546
jumpingjacks,progressive_N8,90,0.107573,1.586467,0.024875,0.7533
jumpingjacks,progressive_N8,135,0.111863,7.282706,0.050592,0.7581
jumpingjacks,iterative,45,0.043505,0.233091,0.003922,4.102
jumpingjacks,iterative,90,0.074413,0.476406,0.020946,8.2602
jumpingjacks,iterative,135,0.07171,0.955216,0.048015,12.3427
hook,from_init,45,0.121461,1.650671,0.007653,0.1831
hook,from_init,90,0.212949,4.068473,0.027665,0.1777
hook,from_init,135,0.317658,9.136713,0.05069,0.1761
hook,progressive_N2,45,0.11824,1.541575,0.006867,0.3205
hook,progressive_N2,90,0.200643,3.726958,0.024638,0.3145
hook,progressive_N2,135,0.284957,8.532645,0.046233,0.3106
hook,progressive_N4,45,0.098337,1.271683,0.005128,0.5815
hook,progressive_N4,90,0.169093,3.050706,0.01874,0.6029
hook,progressive_N4,135,0.227809,5.429743,0.037772,0.5966
hook,progressive_N8,45,0.076609,0.970019,0.003753,1.2501
hook,progressive_N8,90,0.133689,2.347751,0.014171,1.144
hook,progressive_N8,135,0.174526,4.119661,0.03134,1.1519
hook,iterative,45,0.051906,0.576137,0.002534,5.8972
hook,iterative,90,0.087615,1.205392,0.009813,11.8765
hook,iterative,135,0.124766,2.10671,0.023884,18.0705
mutant,from_init,45,0.105741,0.633961,0.011401,0.168
mutant,from_init,90,0.237049,1.612195,0.053201,0.1699
mutant,from_init,135,0.398813,2.972017,0.128636,0.1671
mutant,progressive_N2,45,0.09756,0.58997,0.010308,0.3023
mutant,progressive_N2,90,0.211413,1.433246,0.046587,0.3036
mutant,progressive_N2,135,0.336902,2.320465,0.103428,0.3046
mutant,progressive_N4,45,0.080908,0.501264,0.00836,0.5669
mutant,progressive_N4,90,0.177203,1.122078,0.037162,0.5664
mutant,progressive_N4,135,0.257927,1.828386,0.08082,0.5676
mutant,progressive_N8,45,0.069054,0.386325,0.006724,1.0921
mutant,progressive_N8,90,0.135117,0.817866,0.02944,1.0932
mutant,progressive_N8,135,0.221239,1.331136,0.063891,1.0914
mutant,iterative,45,0.058536,0.220456,0.005304,7.152
mutant,iterative,90,0.109471,0.395477,0.022295,14.3668
mutant,iterative,135,0.15673,0.573113,0.048288,22.2362
