mode,angle,cam,psnr_vs_ref,ssim_vs_ref,lpips_alex_vs_ref
from_init,5,6,53.0009,0.99934,0.00048
from_init,10,6,45.3300,0.99567,0.00152
from_init,15,6,42.6279,0.99216,0.00302
from_init,22,6,40.2664,0.98769,0.00623
from_init,30,6,39.0407,0.98328,0.01020
from_init,45,6,37.5417,0.97489,0.01307
from_init,60,6,35.8274,0.96295,0.01843
from_init,75,6,34.5942,0.95381,0.02253
from_init,90,6,34.0252,0.94896,0.02548
from_init,110,6,33.6192,0.94526,0.03007
from_init,135,6,34.1373,0.94907,0.03231
progressive_N2,5,6,55.0524,0.99960,0.00035
progressive_N2,10,6,46.1335,0.99639,0.00165
progressive_N2,15,6,43.1013,0.99295,0.00275
progressive_N2,22,6,40.6494,0.98868,0.00604
progressive_N2,30,6,39.3449,0.98435,0.00929
progressive_N2,45,6,37.6098,0.97571,0.01266
progressive_N2,60,6,35.8806,0.96360,0.01718
progressive_N2,75,6,34.8386,0.95642,0.02156
progressive_N2,90,6,34.2980,0.95225,0.02406
progressive_N2,110,6,34.0909,0.95033,0.02793
progressive_N2,135,6,34.9708,0.95631,0.02812
progressive_N4,5,6,65.2203,0.99997,0.00003
progressive_N4,10,6,49.5244,0.99835,0.00075
progressive_N4,15,6,45.0444,0.99566,0.00183
progressive_N4,22,6,42.0200,0.99149,0.00440
progressive_N4,30,6,40.5740,0.98755,0.00673
progressive_N4,45,6,38.3635,0.97924,0.01105
progressive_N4,60,6,36.5811,0.96798,0.01527
progressive_N4,75,6,35.4906,0.96177,0.01796
progressive_N4,90,6,35.1037,0.95942,0.02050
progressive_N4,110,6,35.2473,0.95953,0.02341
progressive_N4,135,6,36.3490,0.96632,0.02185
progressive_N8,5,6,59.8154,0.99987,0.00012
progressive_N8,10,6,60.9770,0.99991,0.00009
progressive_N8,15,6,50.9017,0.99886,0.00081
progressive_N8,22,6,45.4232,0.99620,0.00213
progressive_N8,30,6,42.9588,0.99259,0.00416
progressive_N8,45,6,40.1975,0.98554,0.00812
progressive_N8,60,6,38.1051,0.97672,0.01078
progressive_N8,75,6,36.7221,0.97021,0.01281
progressive_N8,90,6,36.4287,0.96847,0.01464
progressive_N8,110,6,36.8625,0.97012,0.01699
progressive_N8,135,6,37.8390,0.97667,0.01712
