mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
iterative,,5.0,5,0.5228,0.000049,0.000575,0.002345,0.027168,0.002617,0.008527,0.020033,0.002345,0.046660,0.204573,0.000000
iterative,,10.0,10,0.9003,0.000164,0.001042,0.004064,0.051517,0.003841,0.013491,0.037693,0.003164,0.063262,0.379463,0.000000
iterative,,15.0,15,1.3404,0.000348,0.001508,0.005740,0.074019,0.004927,0.019268,0.053720,0.003819,0.072039,0.547688,0.000000
iterative,,22.0,22,1.9514,0.000725,0.002158,0.008042,0.103183,0.006412,0.026702,0.074137,0.004701,0.088474,0.778685,0.000000
iterative,,30.0,30,2.6510,0.001329,0.002888,0.010675,0.133613,0.008075,0.035549,0.097590,0.005714,0.109143,1.038654,0.000000
iterative,,45.0,45,3.9546,0.002967,0.004203,0.015900,0.190690,0.011178,0.050787,0.161652,0.007681,0.137083,1.521475,0.000000
iterative,,60.0,60,5.2728,0.005275,0.005428,0.020852,0.264313,0.014289,0.062647,0.233300,0.009741,0.178020,2.008950,0.000000
iterative,,75.0,75,6.6134,0.008250,0.006544,0.025463,0.336297,0.017434,0.078426,0.310430,0.011903,0.224044,2.509281,0.000000
iterative,,90.0,90,7.9262,0.011858,0.007540,0.028919,0.400501,0.020644,0.091783,0.390895,0.014172,0.246713,3.023636,0.000000
iterative,,110.0,110,9.6881,0.017525,0.008646,0.034248,0.499152,0.024751,0.119061,0.499152,0.017246,0.310878,3.720964,0.000000
iterative,,135.0,135,11.9341,0.025536,0.009591,0.037117,0.619652,0.029706,0.138904,0.619652,0.021105,0.384282,4.568755,0.000000
from_init,,5.0,1,0.1651,0.000076,0.000718,0.002939,0.027138,0.003844,0.012243,0.019901,0.003699,0.080691,0.352337,0.000000
from_init,,10.0,1,0.1153,0.000300,0.001435,0.005962,0.052789,0.007640,0.024273,0.038469,0.007327,0.156813,0.690548,0.000000
from_init,,15.0,1,0.1144,0.000671,0.002151,0.008835,0.076930,0.011396,0.036285,0.056762,0.010888,0.234439,1.041298,0.000000
from_init,,22.0,1,0.1137,0.001431,0.003150,0.013030,0.108242,0.016623,0.052308,0.082650,0.016051,0.344581,1.658486,0.000000
from_init,,30.0,1,0.1139,0.002642,0.004285,0.017772,0.140609,0.022571,0.069451,0.111946,0.022779,0.488939,2.408693,0.000000
from_init,,45.0,1,0.1141,0.005894,0.006368,0.025949,0.203632,0.033710,0.099858,0.165859,0.037371,0.764675,3.923556,0.000000
from_init,,60.0,1,0.1134,0.010451,0.008370,0.033957,0.284208,0.045082,0.128367,0.218477,0.054271,1.115439,5.591611,0.000000
from_init,,75.0,1,0.1142,0.016354,0.010262,0.041217,0.363199,0.056864,0.157718,0.295732,0.073244,1.513351,7.455470,0.000000
