mode,angle,cam,psnr_vs_ref,ssim_vs_ref,lpips_alex_vs_ref
from_init,5,17,49.2023,0.99978,0.00027
from_init,10,17,38.8457,0.99762,0.00235
from_init,15,17,33.9567,0.99230,0.00493
from_init,22,17,30.1488,0.98140,0.01033
from_init,30,17,27.6358,0.96815,0.01470
from_init,45,17,25.0491,0.94609,0.02337
from_init,60,17,23.7881,0.92962,0.03125
from_init,75,17,23.2296,0.91975,0.03777
from_init,90,17,22.9521,0.91457,0.04276
from_init,110,17,20.9087,0.88097,0.05878
from_init,135,17,18.8808,0.85507,0.09810
progressive_N2,5,17,51.2366,0.99986,0.00017
progressive_N2,10,17,39.8658,0.99812,0.00199
progressive_N2,15,17,34.6513,0.99349,0.00456
progressive_N2,22,17,30.6244,0.98340,0.00952
progressive_N2,30,17,28.0106,0.97068,0.01379
progressive_N2,45,17,25.3596,0.94931,0.02258
progressive_N2,60,17,24.0780,0.93316,0.03007
progressive_N2,75,17,23.4918,0.92322,0.03587
progressive_N2,90,17,23.0406,0.91515,0.04127
progressive_N2,110,17,20.9129,0.88208,0.05871
progressive_N2,135,17,18.9301,0.85733,0.09682
progressive_N4,5,17,61.0206,0.99999,0.00002
progressive_N4,10,17,43.3770,0.99919,0.00103
progressive_N4,15,17,36.8581,0.99626,0.00317
progressive_N4,22,17,32.0709,0.98848,0.00733
progressive_N4,30,17,29.1136,0.97738,0.01178
progressive_N4,45,17,26.1937,0.95717,0.01991
progressive_N4,60,17,24.8230,0.94143,0.02634
progressive_N4,75,17,24.1264,0.93068,0.03136
progressive_N4,90,17,23.3457,0.91813,0.03603
progressive_N4,110,17,21.0561,0.88526,0.05394
progressive_N4,135,17,19.1075,0.86090,0.09181
progressive_N8,5,17,54.7563,0.99994,0.00008
progressive_N8,10,17,54.4595,0.99994,0.00009
progressive_N8,15,17,42.2069,0.99897,0.00108
progressive_N8,22,17,35.3439,0.99496,0.00444
progressive_N8,30,17,31.4765,0.98720,0.00817
progressive_N8,45,17,27.9137,0.97079,0.01542
progressive_N8,60,17,26.3035,0.95672,0.02046
progressive_N8,75,17,25.5440,0.94637,0.02289
progressive_N8,90,17,24.2226,0.92849,0.02873
progressive_N8,110,17,21.4922,0.89345,0.04592
progressive_N8,135,17,19.5408,0.87048,0.08131
