mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
iterative,,5.0,5,0.5283,0.000059,0.001002,0.004755,0.029732,0.003086,0.009947,0.025537,0.003950,0.111256,1.376317,0.000000
iterative,,10.0,10,0.9197,0.000174,0.001701,0.007946,0.057305,0.004986,0.015801,0.043745,0.006615,0.181130,2.235395,0.000000
iterative,,15.0,15,1.3645,0.000340,0.002373,0.011052,0.084192,0.006717,0.021435,0.060758,0.008911,0.242446,2.941646,0.000000
iterative,,22.0,22,1.9882,0.000666,0.003290,0.015124,0.121014,0.009033,0.028967,0.083145,0.011935,0.319423,3.839387,0.000000
iterative,,30.0,30,2.7073,0.001176,0.004318,0.019297,0.161557,0.011603,0.037099,0.106801,0.015469,0.409686,4.821302,0.000000
iterative,,45.0,45,4.0361,0.002534,0.006152,0.027385,0.228478,0.016273,0.051906,0.145791,0.022516,0.576137,6.627957,0.000000
iterative,,60.0,60,5.3924,0.004414,0.007826,0.033490,0.286695,0.020762,0.068776,0.178358,0.030162,0.737226,8.434456,0.000000
iterative,,75.0,75,6.7501,0.006821,0.009276,0.039333,0.388601,0.025087,0.077099,0.211940,0.038529,0.969969,10.272937,0.000000
iterative,,90.0,90,8.0514,0.009813,0.010520,0.045829,0.495527,0.029200,0.087615,0.241713,0.047703,1.205392,12.163008,0.000000
iterative,,110.0,110,9.8977,0.014956,0.012211,0.052578,0.631580,0.034342,0.096558,0.339517,0.061410,1.559614,14.767303,0.000000
iterative,,135.0,135,12.1416,0.023884,0.015373,0.065586,0.719623,0.039762,0.124766,0.489913,0.081333,2.106710,19.647676,0.000000
from_init,,5.0,1,0.1657,0.000098,0.001293,0.006043,0.033659,0.004204,0.013342,0.033659,0.005014,0.138968,1.771399,0.000000
from_init,,10.0,1,0.1165,0.000391,0.002580,0.011947,0.067849,0.008396,0.026773,0.067849,0.010321,0.280029,3.568940,0.000000
from_init,,15.0,1,0.1165,0.000877,0.003861,0.017870,0.102280,0.012572,0.040592,0.102280,0.016102,0.431775,5.370688,0.000000
from_init,,22.0,1,0.1155,0.001877,0.005637,0.025950,0.150567,0.018383,0.059319,0.150495,0.025369,0.659946,7.900430,0.000000
from_init,,30.0,1,0.1158,0.003464,0.007631,0.034883,0.209838,0.025004,0.082407,0.205133,0.037201,0.967042,10.809471,0.000000
from_init,,45.0,1,0.1162,0.007653,0.011237,0.051673,0.320126,0.037327,0.121461,0.304659,0.062343,1.650671,16.354387,0.000000
from_init,,60.0,1,0.1159,0.013269,0.014598,0.066510,0.415541,0.049369,0.153415,0.398415,0.090779,2.393801,22.088118,0.000000
from_init,,75.0,1,0.1169,0.020055,0.017594,0.079690,0.484334,0.060886,0.184953,0.484334,0.122410,3.160567,28.100887,0.000000
from_init,,90.0,1,0.1161,0.027665,0.020193,0.092619,0.560199,0.072470,0.212949,0.560199,0.158162,4.068473,34.832142,0.000000
from_init,,110.0,1,0.1155,0.038320,0.022739,0.103835,0.664266,0.087006,0.267382,0.641286,0.214480,5.544187,46.718185,0.000000
from_init,,135.0,1,0.1171,0.050690,0.024302,0.114930,0.731466,0.103858,0.317658,0.701060,0.358746,9.136713,91.250015,0.000000
progressive,_N2,5.0,2,0.2634,0.000088,0.001224,0.005690,0.031999,0.003978,0.012702,0.031999,0.004787,0.133943,1.694398,0.000000
progressive,_N2,10.0,2,0.2055,0.000352,0.002444,0.011414,0.064801,0.007943,0.025502,0.064551,0.009844,0.270628,3.414519,0.000000
