mode,angle,cam,psnr_vs_ref,ssim_vs_ref,lpips_alex_vs_ref
from_init,5,0,43.8948,0.99923,0.00100
from_init,10,0,33.3071,0.99142,0.00668
from_init,15,0,28.4589,0.97274,0.01568
from_init,22,0,24.8569,0.94458,0.03015
from_init,30,0,22.4342,0.92272,0.05290
from_init,45,0,19.9572,0.89583,0.09721
from_init,60,0,18.5919,0.86955,0.12800
from_init,75,0,17.1127,0.84911,0.17352
from_init,90,0,16.3498,0.82394,0.24826
from_init,110,0,16.3969,0.81747,0.27314
from_init,135,0,16.4471,0.82952,0.26365
progressive_N2,5,0,45.8372,0.99951,0.00067
progressive_N2,10,0,34.1639,0.99301,0.00587
progressive_N2,15,0,28.9476,0.97555,0.01426
progressive_N2,22,0,25.1711,0.94782,0.02846
progressive_N2,30,0,22.6789,0.92611,0.05045
progressive_N2,45,0,20.1609,0.89974,0.09416
progressive_N2,60,0,18.7333,0.87378,0.12434
progressive_N2,75,0,17.1367,0.84877,0.17337
progressive_N2,90,0,16.2920,0.82045,0.24222
progressive_N2,110,0,16.3863,0.81659,0.27501
progressive_N2,135,0,16.4348,0.82894,0.26522
progressive_N4,5,0,56.2912,0.99996,0.00006
progressive_N4,10,0,37.3304,0.99671,0.00359
progressive_N4,15,0,30.6374,0.98336,0.01063
progressive_N4,22,0,26.2166,0.95754,0.02380
progressive_N4,30,0,23.4902,0.93593,0.04237
progressive_N4,45,0,20.7833,0.91013,0.08285
progressive_N4,60,0,19.1938,0.88508,0.11001
progressive_N4,75,0,17.3071,0.85059,0.16760
progressive_N4,90,0,16.4301,0.82276,0.23554
progressive_N4,110,0,16.3589,0.81418,0.27285
progressive_N4,135,0,16.4928,0.82883,0.26516
progressive_N8,5,0,48.9463,0.99977,0.00033
progressive_N8,10,0,47.9261,0.99972,0.00042
progressive_N8,15,0,34.9324,0.99388,0.00475
progressive_N8,22,0,28.4000,0.97310,0.01573
progressive_N8,30,0,25.0503,0.95225,0.03131
progressive_N8,45,0,21.8909,0.92739,0.06580
progressive_N8,60,0,19.9683,0.90143,0.09256
progressive_N8,75,0,17.6546,0.85819,0.15642
progressive_N8,90,0,16.7527,0.83022,0.22389
progressive_N8,110,0,16.6151,0.82012,0.26192
progressive_N8,135,0,16.6237,0.83134,0.25970
