mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
iterative,,5.0,5,0.5099,0.000062,0.001166,0.004910,0.043814,0.001604,0.005153,0.013333,0.004233,0.107389,0.807477,0.000000
iterative,,10.0,10,0.9331,0.000196,0.002033,0.008519,0.090182,0.002951,0.007559,0.051437,0.005707,0.142654,1.095500,0.000000
iterative,,15.0,15,1.3787,0.000412,0.002991,0.012631,0.141207,0.004376,0.011428,0.101945,0.006514,0.158788,1.204855,0.000000
iterative,,22.0,22,2.0160,0.000869,0.004464,0.018749,0.222155,0.006494,0.017480,0.185171,0.007364,0.178395,1.276053,0.000000
iterative,,30.0,30,2.7472,0.001642,0.006258,0.026665,0.327092,0.009038,0.026520,0.294325,0.008101,0.200009,1.279288,0.000000
iterative,,45.0,45,4.1020,0.003922,0.009779,0.044355,0.547793,0.014163,0.043505,0.527591,0.009042,0.233091,1.221824,0.000000
iterative,,60.0,60,5.4657,0.007549,0.013398,0.062005,0.771931,0.019113,0.058972,0.769887,0.010230,0.280415,1.303654,0.000000
iterative,,75.0,75,6.8766,0.013058,0.017171,0.080027,0.980406,0.023385,0.067502,0.980406,0.013584,0.362235,2.466682,0.000000
iterative,,90.0,90,8.2602,0.020946,0.021103,0.094524,1.129480,0.026553,0.074413,1.129480,0.020417,0.476406,4.298848,0.000000
iterative,,110.0,110,10.0119,0.033803,0.025948,0.113317,1.224935,0.029149,0.072869,1.224935,0.032585,0.646554,7.145219,0.000000
iterative,,135.0,135,12.3427,0.048015,0.029794,0.131179,1.195453,0.030572,0.071710,1.195453,0.047990,0.955216,9.752669,0.000000
from_init,,5.0,1,0.1561,0.000102,0.001594,0.006794,0.047615,0.002135,0.007122,0.011631,0.006364,0.157481,1.355965,0.000000
from_init,,10.0,1,0.1186,0.000412,0.003205,0.013623,0.111730,0.004456,0.015084,0.023615,0.013582,0.308266,3.078548,0.000000
from_init,,15.0,1,0.1183,0.000939,0.004830,0.020714,0.193463,0.006994,0.022485,0.042755,0.021672,0.460369,4.826968,0.000000
from_init,,22.0,1,0.1187,0.002060,0.007122,0.029879,0.330394,0.010992,0.033936,0.095153,0.033602,0.712376,7.254554,0.000000
from_init,,30.0,1,0.1185,0.003932,0.009772,0.041464,0.511830,0.016233,0.047991,0.176368,0.047732,1.042664,9.980882,0.000000
from_init,,45.0,1,0.1178,0.009333,0.014963,0.062444,0.900856,0.027976,0.074661,0.380568,0.076465,1.702756,14.951350,0.000000
from_init,,60.0,1,0.1188,0.017544,0.020603,0.087350,1.326624,0.041675,0.110746,0.639443,0.381629,9.984836,61.277500,0.000000
from_init,,75.0,1,0.1191,0.028883,0.026476,0.111196,1.762789,0.056340,0.146582,0.938048,0.378308,10.188627,56.191315,0.000000
from_init,,90.0,1,0.1195,0.043420,0.032148,0.136581,2.183383,0.070888,0.188769,1.261585,0.375054,10.199335,50.938663,0.000000
from_init,,110.0,1,0.1199,0.067156,0.038863,0.174344,2.675797,0.088334,0.252754,1.711776,0.367788,9.838969,45.446735,0.000000
from_init,,135.0,1,0.1192,0.092800,0.042193,0.203050,2.818391,0.098991,0.268928,2.053750,0.434740,12.158571,56.890934,0.000000
progressive,_N2,5.0,2,0.2575,0.000091,0.001504,0.006326,0.047830,0.002064,0.007489,0.010858,0.005893,0.146061,1.229141,0.000000
progressive,_N2,10.0,2,0.2083,0.000369,0.003028,0.012834,0.113986,0.004332,0.015291,0.029446,0.012536,0.283560,2.817435,0.000000
progressive,_N2,15.0,2,0.2078,0.000843,0.004568,0.019731,0.196018,0.006823,0.023201,0.060679,0.019961,0.432454,4.441271,0.000000
progressive,_N2,22.0,2,0.2079,0.001857,0.006748,0.028771,0.332967,0.010802,0.033238,0.120869,0.031003,0.648690,6.706204,0.000000
progressive,_N2,30.0,2,0.2074,0.003557,0.009294,0.038993,0.514619,0.016007,0.044316,0.210975,0.044044,0.940645,9.259679,0.000000
progressive,_N2,45.0,2,0.2079,0.008503,0.014370,0.060206,0.907245,0.027613,0.068567,0.433360,0.070207,1.560034,13.926721,0.000000
progressive,_N2,60.0,2,0.2080,0.016085,0.019930,0.085521,1.344466,0.041186,0.103694,0.714251,0.318860,7.527985,60.443447,0.000000
progressive,_N2,75.0,2,0.2071,0.026622,0.025841,0.110833,1.803956,0.055891,0.147771,1.039640,0.368251,10.022355,54.876526,0.000000
progressive,_N2,90.0,2,0.2090,0.040188,0.031691,0.142130,2.262707,0.070829,0.173579,1.392616,0.359623,9.704632,50.253662,0.000000
progressive,_N2,110.0,2,0.2084,0.062249,0.038877,0.182931,2.826324,0.088750,0.221646,1.869156,0.350263,9.589540,44.221161,0.000000
progressive,_N2,135.0,2,0.2087,0.090483,0.045305,0.212583,3.173977,0.101710,0.270704,2.301897,0.336138,9.164062,36.128098,0.000000
progressive,_N4,5.0,4,0.4349,0.000068,0.001243,0.005206,0.044788,0.001705,0.005783,0.011327,0.004697,0.118364,0.927732,0.000000
progressive,_N4,10.0,4,0.3899,0.000279,0.002507,0.010681,0.102454,0.003629,0.011752,0.032250,0.009862,0.238658,2.174727,0.000000
