mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
iterative,,5.0,5,0.6703,0.000029,0.000323,0.001389,0.044290,0.002936,0.010576,0.020719,0.004572,0.124781,0.754284,0.000000
iterative,,10.0,10,0.8969,0.000111,0.000670,0.002984,0.091292,0.005657,0.019258,0.044899,0.009039,0.249350,1.851550,0.000000
iterative,,15.0,15,1.3212,0.000246,0.001052,0.005061,0.138526,0.008342,0.026496,0.073252,0.013950,0.362965,3.101273,0.000000
iterative,,22.0,22,1.9174,0.000528,0.001650,0.008260,0.203508,0.012074,0.035963,0.120136,0.021551,0.555603,4.972990,0.000000
iterative,,30.0,30,2.6085,0.000990,0.002422,0.012950,0.274567,0.016408,0.048352,0.183524,0.031450,0.792855,7.206231,0.000000
iterative,,45.0,45,3.9016,0.002292,0.004198,0.024281,0.389564,0.026886,0.080658,0.326540,0.053633,1.374094,11.548268,0.000000
iterative,,60.0,60,5.2075,0.004195,0.006280,0.037922,0.491528,0.039927,0.116538,0.491528,0.129946,2.528702,37.545624,0.000000
iterative,,75.0,75,6.5105,0.006686,0.008390,0.052734,0.641545,0.056125,0.161293,0.641545,0.364815,8.622410,55.658333,0.000000
iterative,,90.0,90,7.8512,0.009547,0.010303,0.069305,0.715745,0.073211,0.195364,0.715745,0.518920,11.755362,82.385117,0.000000
iterative,,110.0,110,9.6104,0.013551,0.013060,0.092440,0.725151,0.091591,0.256396,0.725151,0.490054,10.740355,115.565247,0.000000
iterative,,135.0,135,11.8758,0.018494,0.016236,0.117857,1.040769,0.114740,0.325157,1.040769,0.421875,10.310508,95.661659,0.000000
from_init,,5.0,1,0.1478,0.000032,0.000326,0.001394,0.041844,0.003037,0.010618,0.021190,0.004933,0.136997,0.762711,0.000000
from_init,,10.0,1,0.1124,0.000129,0.000662,0.002970,0.083102,0.006005,0.021659,0.046520,0.010130,0.272574,1.803587,0.000000
from_init,,15.0,1,0.1127,0.000293,0.001023,0.004759,0.123563,0.009016,0.030078,0.075647,0.015818,0.424299,2.924064,0.000000
from_init,,22.0,1,0.1124,0.000634,0.001576,0.008024,0.178584,0.013368,0.043154,0.122169,0.024596,0.655057,4.542947,0.000000
from_init,,30.0,1,0.1119,0.001190,0.002287,0.012780,0.238589,0.018605,0.061838,0.182463,0.035463,0.940067,6.429135,0.000000
from_init,,45.0,1,0.1140,0.002725,0.003850,0.023331,0.339116,0.029274,0.100267,0.311338,0.059758,1.590883,10.010390,0.000000
from_init,,60.0,1,0.1126,0.004910,0.005732,0.036226,0.453017,0.043184,0.141559,0.453017,0.137904,2.884601,38.035252,0.000000
from_init,,75.0,1,0.1137,0.007870,0.007830,0.052672,0.595082,0.062264,0.190242,0.595082,0.447254,10.609582,63.558365,0.000000
from_init,,90.0,1,0.1200,0.010987,0.009910,0.066994,0.798684,0.081428,0.243182,0.798684,0.413033,9.690690,67.275436,0.000000
from_init,,110.0,1,0.1136,0.015561,0.012773,0.088731,1.053730,0.111322,0.305402,1.053730,0.413461,9.740944,68.250763,0.000000
from_init,,135.0,1,0.1135,0.021159,0.015755,0.105690,1.332017,0.146322,0.404410,1.332017,0.442046,10.139170,105.365868,0.000000
