mode,angle,cam,psnr_vs_ref,ssim_vs_ref,lpips_alex_vs_ref
from_init,5,9,40.7463,0.99879,0.00121
from_init,10,9,31.4115,0.98823,0.00557
from_init,15,9,27.7610,0.97361,0.01166
from_init,22,9,25.0807,0.95539,0.02025
from_init,30,9,23.2575,0.93777,0.03284
from_init,45,9,21.2852,0.91179,0.05380
from_init,60,9,20.0997,0.89235,0.07456
from_init,75,9,19.3017,0.87857,0.09443
from_init,90,9,18.6253,0.86877,0.11248
from_init,110,9,17.7138,0.85491,0.14973
from_init,135,9,16.6682,0.83588,0.18630
progressive_N2,5,9,42.3786,0.99918,0.00097
progressive_N2,10,9,32.1072,0.98998,0.00481
progressive_N2,15,9,28.2523,0.97642,0.01053
progressive_N2,22,9,25.4823,0.95943,0.01839
progressive_N2,30,9,23.6271,0.94285,0.02978
progressive_N2,45,9,21.6497,0.91905,0.04894
progressive_N2,60,9,20.4781,0.90211,0.06725
progressive_N2,75,9,19.7269,0.89161,0.08477
progressive_N2,90,9,19.1260,0.88752,0.10008
progressive_N2,110,9,18.2057,0.87815,0.13451
progressive_N2,135,9,16.6525,0.82601,0.17636
progressive_N4,5,9,52.8417,0.99993,0.00012
progressive_N4,10,9,35.2227,0.99509,0.00282
progressive_N4,15,9,30.2037,0.98454,0.00707
progressive_N4,22,9,26.9504,0.97036,0.01325
progressive_N4,30,9,24.9020,0.95652,0.02211
progressive_N4,45,9,22.7299,0.93619,0.03819
progressive_N4,60,9,21.4980,0.92306,0.05393
progressive_N4,75,9,20.6225,0.91369,0.07118
progressive_N4,90,9,19.9347,0.90946,0.08384
progressive_N4,110,9,18.8417,0.89538,0.11285
progressive_N4,135,9,16.8236,0.82741,0.16554
progressive_N8,5,9,45.8449,0.99962,0.00053
progressive_N8,10,9,45.7172,0.99961,0.00046
progressive_N8,15,9,34.7085,0.99453,0.00341
progressive_N8,22,9,29.7587,0.98360,0.00819
progressive_N8,30,9,27.1288,0.97279,0.01362
progressive_N8,45,9,24.5583,0.95764,0.02507
progressive_N8,60,9,23.0817,0.94805,0.03738
progressive_N8,75,9,22.0732,0.94202,0.05274
progressive_N8,90,9,21.1159,0.93556,0.06481
progressive_N8,110,9,19.5770,0.90998,0.09131
progressive_N8,135,9,17.1907,0.83702,0.14784
