mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
iterative,,5.0,5,0.5141,0.000602,0.002301,0.010024,0.045618,0.008022,0.024120,0.045618,0.003850,0.106767,1.324036,0.000000
iterative,,10.0,10,0.9111,0.002308,0.004550,0.019711,0.086159,0.015481,0.045984,0.086159,0.007555,0.201607,2.682389,0.000000
iterative,,15.0,15,1.3540,0.005070,0.006768,0.029304,0.124861,0.022761,0.067287,0.124861,0.011329,0.292854,4.244260,0.000000
iterative,,22.0,22,1.9726,0.010645,0.009808,0.042319,0.176730,0.032774,0.095732,0.176730,0.016656,0.414427,6.511780,0.000000
iterative,,30.0,30,2.6818,0.019370,0.013178,0.057776,0.233182,0.043963,0.129757,0.233182,0.022835,0.543678,9.176608,0.000000
iterative,,45.0,45,4.0071,0.042201,0.019183,0.083800,0.331692,0.064126,0.178437,0.331692,0.034492,0.787903,14.244457,0.000000
iterative,,60.0,60,5.3507,0.073037,0.024759,0.108993,0.435337,0.083115,0.231436,0.435337,0.045999,1.059137,19.152617,0.000000
iterative,,75.0,75,6.7635,0.111244,0.029880,0.133745,0.551200,0.100753,0.273051,0.551200,0.057621,1.376142,23.554611,0.000000
iterative,,90.0,90,8.0453,0.155797,0.034433,0.157942,0.640759,0.116577,0.327636,0.640759,0.069205,1.687962,27.103384,0.000000
iterative,,110.0,110,9.8386,0.222356,0.039554,0.189916,0.760791,0.135020,0.382686,0.760791,0.083744,2.015847,33.300121,0.000000
iterative,,135.0,135,12.2422,0.292076,0.042580,0.213341,0.771213,0.136528,0.402466,0.764149,0.080335,1.929673,30.697392,0.000000
from_init,,5.0,1,0.1573,0.000652,0.002387,0.010504,0.049561,0.008488,0.025545,0.049561,0.004356,0.117922,1.485819,0.000000
from_init,,10.0,1,0.1156,0.002603,0.004785,0.021105,0.098445,0.016960,0.050623,0.098445,0.009303,0.238305,3.266695,0.000000
from_init,,15.0,1,0.1157,0.005852,0.007194,0.031587,0.146674,0.025413,0.075159,0.146674,0.014599,0.355271,5.398884,0.000000
