mode,angle,cam,psnr_vs_ref,ssim_vs_ref,lpips_alex_vs_ref
from_init,5,6,36.3803,0.99788,0.00163
from_init,10,6,30.2548,0.98912,0.00610
from_init,15,6,27.5700,0.97827,0.01168
from_init,22,6,25.5560,0.96497,0.01841
from_init,30,6,24.0091,0.95307,0.02687
from_init,45,6,22.4341,0.93115,0.03911
from_init,60,6,21.7821,0.91639,0.04644
from_init,75,6,21.7081,0.90851,0.05167
from_init,90,6,22.0398,0.90557,0.05525
from_init,110,6,21.5537,0.90431,0.05470
from_init,135,6,21.1299,0.91019,0.06147
progressive_N2,5,6,38.1655,0.99864,0.00110
progressive_N2,10,6,30.9998,0.99089,0.00515
progressive_N2,15,6,28.1087,0.98073,0.00989
progressive_N2,22,6,25.8887,0.96764,0.01662
progressive_N2,30,6,24.3063,0.95612,0.02426
progressive_N2,45,6,22.6733,0.93461,0.03565
progressive_N2,60,6,21.9771,0.91939,0.04465
progressive_N2,75,6,21.9786,0.91088,0.04988
progressive_N2,90,6,22.2493,0.90752,0.05210
progressive_N2,110,6,21.4213,0.90605,0.05393
progressive_N2,135,6,21.5892,0.91431,0.05708
progressive_N4,5,6,48.6027,0.99988,0.00016
progressive_N4,10,6,34.0080,0.99578,0.00277
progressive_N4,15,6,30.0783,0.98797,0.00613
progressive_N4,22,6,27.2694,0.97697,0.01179
progressive_N4,30,6,25.5005,0.96627,0.01768
progressive_N4,45,6,23.6869,0.94797,0.02898
progressive_N4,60,6,22.8837,0.93358,0.03667
progressive_N4,75,6,23.1511,0.92635,0.04020
progressive_N4,90,6,22.9895,0.92292,0.04143
progressive_N4,110,6,22.0858,0.92248,0.04172
progressive_N4,135,6,23.1327,0.93085,0.04820
progressive_N8,5,6,43.0933,0.99957,0.00059
progressive_N8,10,6,45.4307,0.99975,0.00041
progressive_N8,15,6,35.2076,0.99663,0.00236
progressive_N8,22,6,30.6583,0.98917,0.00515
progressive_N8,30,6,28.2017,0.97996,0.00956
progressive_N8,45,6,25.7749,0.96467,0.01870
progressive_N8,60,6,24.7711,0.95304,0.02386
progressive_N8,75,6,24.7868,0.94600,0.02921
progressive_N8,90,6,23.9088,0.94213,0.02908
progressive_N8,110,6,23.6407,0.94113,0.03062
progressive_N8,135,6,23.8862,0.93941,0.03799
