mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
iterative,,5.0,5,0.5404,0.000080,0.000867,0.004156,0.037242,0.002885,0.008264,0.015764,0.001997,0.047741,0.701463,0.000000
iterative,,10.0,10,0.9277,0.000267,0.001505,0.006802,0.074386,0.004654,0.013287,0.031649,0.003166,0.074033,1.184721,0.000000
iterative,,15.0,15,1.3783,0.000570,0.002127,0.009250,0.112030,0.006275,0.019349,0.048006,0.004126,0.096187,1.544527,0.000000
iterative,,22.0,22,2.0330,0.001210,0.003003,0.013014,0.165937,0.008541,0.027887,0.071703,0.005407,0.128245,1.965089,0.000000
iterative,,30.0,30,2.7263,0.002275,0.004013,0.016947,0.228661,0.011182,0.037286,0.099652,0.006883,0.160446,2.413138,0.000000
iterative,,45.0,45,4.1412,0.005304,0.005897,0.024930,0.343743,0.016292,0.058536,0.153017,0.009743,0.220456,3.247623,0.000000
iterative,,60.0,60,5.4394,0.009702,0.007733,0.033491,0.441604,0.021499,0.079489,0.204840,0.012720,0.283475,4.065541,0.000000
iterative,,75.0,75,6.7884,0.015406,0.009525,0.041199,0.541628,0.026647,0.092957,0.266203,0.015790,0.341182,4.823085,0.000000
iterative,,90.0,90,8.1628,0.022295,0.011249,0.047935,0.663835,0.031605,0.109471,0.326769,0.018905,0.395477,5.483352,0.000000
iterative,,110.0,110,9.9610,0.033051,0.013431,0.059846,0.781813,0.038013,0.130103,0.399810,0.023079,0.482660,6.175945,0.000000
iterative,,135.0,135,12.2785,0.048288,0.015906,0.067912,0.877102,0.045256,0.156730,0.461191,0.027970,0.573113,8.104118,0.000000
from_init,,5.0,1,0.1672,0.000117,0.001109,0.005502,0.039739,0.003942,0.010334,0.020092,0.002673,0.064826,0.822123,0.000000
from_init,,10.0,1,0.1181,0.000479,0.002240,0.011171,0.081052,0.008060,0.021234,0.040544,0.005448,0.130092,1.694993,0.000000
from_init,,15.0,1,0.1181,0.001103,0.003394,0.016986,0.124287,0.012364,0.032337,0.061367,0.008312,0.198959,2.581396,0.000000
from_init,,22.0,1,0.1177,0.002450,0.005050,0.025567,0.190681,0.018705,0.049159,0.091150,0.012499,0.295337,3.832034,0.000000
from_init,,30.0,1,0.1179,0.004731,0.006999,0.035634,0.272449,0.026431,0.068781,0.126090,0.017575,0.402373,5.270719,0.000000
from_init,,45.0,1,0.1177,0.011401,0.010768,0.056459,0.440093,0.042101,0.105741,0.194176,0.027722,0.633961,8.025577,0.000000
from_init,,60.0,1,0.1178,0.021559,0.014612,0.078108,0.619592,0.059061,0.145166,0.265572,0.039087,0.876214,11.141431,0.000000
from_init,,75.0,1,0.1176,0.035472,0.018451,0.100102,0.789432,0.077044,0.187321,0.340277,0.051843,1.233059,14.456501,0.000000
from_init,,90.0,1,0.1181,0.053201,0.022188,0.123005,0.837704,0.095996,0.237049,0.420926,0.066390,1.612195,18.136190,0.000000
from_init,,110.0,1,0.1179,0.082666,0.026851,0.144025,0.781531,0.122324,0.308803,0.551814,0.088542,2.102690,23.967916,0.000000
from_init,,135.0,1,0.1183,0.128636,0.032201,0.188081,0.947820,0.156432,0.398813,0.709664,0.127076,2.972017,33.777615,0.000000
progressive,_N2,5.0,2,0.2505,0.000107,0.001034,0.005122,0.038616,0.003709,0.009964,0.019576,0.002525,0.061338,0.792465,0.000000
progressive,_N2,10.0,2,0.2085,0.000436,0.002084,0.010469,0.078735,0.007560,0.020117,0.039440,0.005142,0.122365,1.628553,0.000000
progressive,_N2,15.0,2,0.2085,0.001003,0.003155,0.015778,0.122241,0.011574,0.030571,0.059583,0.007839,0.187287,2.474926,0.000000
progressive,_N2,22.0,2,0.2073,0.002228,0.004687,0.023619,0.187639,0.017447,0.045629,0.088230,0.011779,0.280117,3.663581,0.000000
progressive,_N2,30.0,2,0.2071,0.004296,0.006484,0.033147,0.268265,0.024537,0.062715,0.121545,0.016527,0.381601,5.020755,0.000000
progressive,_N2,45.0,2,0.2087,0.010308,0.009952,0.052638,0.433947,0.038799,0.097560,0.185319,0.025908,0.589970,7.709511,0.000000
progressive,_N2,60.0,2,0.2077,0.019352,0.013478,0.072023,0.612289,0.054029,0.134096,0.250060,0.036112,0.816690,10.730118,0.000000
progressive,_N2,75.0,2,0.2083,0.031513,0.016948,0.092426,0.783334,0.069725,0.175458,0.314711,0.047108,1.096414,13.892226,0.000000
progressive,_N2,90.0,2,0.2089,0.046587,0.020237,0.111887,0.836740,0.085523,0.211413,0.390246,0.058975,1.433246,17.274244,0.000000
progressive,_N2,110.0,2,0.2087,0.070375,0.024228,0.134399,0.777686,0.106428,0.265439,0.503602,0.075871,1.829138,22.218098,0.000000
progressive,_N2,135.0,2,0.2083,0.103428,0.028538,0.165066,0.775547,0.131342,0.336902,0.639936,0.098001,2.320465,29.154081,0.000000
progressive,_N4,5.0,4,0.4335,0.000086,0.000911,0.004364,0.037526,0.003093,0.008339,0.016705,0.002136,0.051176,0.730941,0.000000
progressive,_N4,10.0,4,0.3879,0.000352,0.001834,0.008887,0.077710,0.006276,0.016978,0.033571,0.004343,0.103527,1.495387,0.000000
progressive,_N4,15.0,4,0.3876,0.000811,0.002773,0.013384,0.120412,0.009566,0.025946,0.050580,0.006625,0.156975,2.269664,0.000000
progressive,_N4,22.0,4,0.3880,0.001804,0.004112,0.019787,0.184106,0.014376,0.038317,0.075154,0.009932,0.232113,3.359338,0.000000
progressive,_N4,30.0,4,0.3876,0.003485,0.005683,0.027649,0.261839,0.020171,0.051813,0.105695,0.013867,0.321659,4.607198,0.000000
progressive,_N4,45.0,4,0.3889,0.008360,0.008705,0.043617,0.417906,0.031786,0.080908,0.165888,0.021622,0.501264,6.942511,0.000000
