mode,angle,cam,psnr_vs_ref,ssim_vs_ref,lpips_alex_vs_ref
from_init,5,7,51.3015,0.99987,0.00010
from_init,10,7,40.1083,0.99820,0.00107
from_init,15,7,35.1683,0.99373,0.00239
from_init,22,7,31.8953,0.98575,0.00597
from_init,30,7,29.7968,0.97850,0.00996
from_init,45,7,26.9334,0.96605,0.01737
from_init,60,7,25.0943,0.95810,0.02130
from_init,75,7,24.3423,0.95738,0.02285
from_init,90,7,23.6735,0.95044,0.02585
from_init,110,7,24.7374,0.94494,0.03127
from_init,135,7,22.9143,0.93548,0.05440
progressive_N2,5,7,53.3091,0.99992,0.00007
progressive_N2,10,7,40.9611,0.99854,0.00092
progressive_N2,15,7,35.6336,0.99441,0.00234
progressive_N2,22,7,32.0749,0.98625,0.00589
progressive_N2,30,7,29.8861,0.97839,0.00995
progressive_N2,45,7,27.1010,0.96610,0.01695
progressive_N2,60,7,25.2513,0.95753,0.02136
progressive_N2,75,7,24.4954,0.95645,0.02259
progressive_N2,90,7,23.8078,0.94934,0.02645
progressive_N2,110,7,23.7570,0.94008,0.03671
progressive_N2,135,7,23.0802,0.93352,0.05496
progressive_N4,5,7,63.0109,0.99999,0.00001
progressive_N4,10,7,44.1927,0.99932,0.00052
progressive_N4,15,7,37.4483,0.99647,0.00183
progressive_N4,22,7,33.0876,0.98914,0.00506
progressive_N4,30,7,30.6049,0.98094,0.00863
progressive_N4,45,7,27.9500,0.97090,0.01450
progressive_N4,60,7,26.1191,0.96479,0.01697
progressive_N4,75,7,25.1726,0.96030,0.02017
progressive_N4,90,7,24.1142,0.94996,0.02694
progressive_N4,110,7,23.4590,0.93819,0.04147
progressive_N4,135,7,23.4932,0.92790,0.05704
progressive_N8,5,7,56.0347,0.99995,0.00004
progressive_N8,10,7,55.3702,0.99995,0.00005
progressive_N8,15,7,42.6215,0.99900,0.00058
progressive_N8,22,7,35.8853,0.99461,0.00275
progressive_N8,30,7,32.4206,0.98716,0.00512
progressive_N8,45,7,29.7491,0.97856,0.00882
progressive_N8,60,7,27.9087,0.97476,0.01084
progressive_N8,75,7,26.5233,0.96529,0.01605
progressive_N8,90,7,25.1061,0.95192,0.02582
progressive_N8,110,7,23.8332,0.93516,0.04169
progressive_N8,135,7,23.5122,0.92132,0.06039
