mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
iterative,,5.0,5,0.5156,0.000227,0.001857,0.009153,0.064208,0.005909,0.024154,0.056015,0.003152,0.061823,4.050603,0.000000
iterative,,10.0,10,0.9191,0.000790,0.003339,0.016655,0.123381,0.011001,0.044235,0.107781,0.004979,0.097985,6.392465,0.000000
iterative,,15.0,15,1.3643,0.001652,0.004622,0.023493,0.180703,0.015740,0.061253,0.158302,0.006149,0.122153,7.515752,0.000000
iterative,,22.0,22,1.9895,0.003303,0.006144,0.031375,0.256283,0.021796,0.085735,0.224837,0.006970,0.145531,7.553486,0.000000
iterative,,30.0,30,2.7036,0.005662,0.007547,0.037072,0.330364,0.027571,0.104179,0.300611,0.006961,0.152839,5.674107,0.000000
iterative,,45.0,45,4.0470,0.010861,0.009517,0.043710,0.422214,0.035131,0.134080,0.422214,0.006196,0.139467,6.616829,0.000000
iterative,,60.0,60,5.3892,0.016763,0.011042,0.047465,0.517371,0.040562,0.151777,0.517371,0.010016,0.195892,8.594492,0.000000
iterative,,75.0,75,6.7257,0.023254,0.012330,0.051945,0.603647,0.044900,0.156503,0.587019,0.015230,0.252018,16.989382,0.000000
iterative,,90.0,90,8.1175,0.030122,0.013436,0.055321,0.716948,0.048525,0.165154,0.673954,0.020794,0.315278,25.152163,0.000000
iterative,,110.0,110,9.9045,0.039280,0.014373,0.057105,0.890213,0.051696,0.216052,0.791193,0.027593,0.384960,36.152832,0.000000
iterative,,135.0,135,12.2258,0.045673,0.012300,0.044449,0.786861,0.048451,0.180789,0.786861,0.042417,0.528109,58.882103,0.000000
from_init,,5.0,1,0.1606,0.000291,0.002103,0.010038,0.069438,0.006582,0.029140,0.061097,0.004321,0.083142,5.807024,0.000000
from_init,,10.0,1,0.1181,0.001209,0.004219,0.019998,0.141746,0.013376,0.059397,0.125069,0.009251,0.167236,12.735725,0.000000
from_init,,15.0,1,0.1177,0.002815,0.006328,0.030068,0.216659,0.020330,0.090613,0.191680,0.014401,0.252428,19.731112,0.000000
from_init,,22.0,1,0.1178,0.006319,0.009232,0.044157,0.325279,0.030243,0.135625,0.288659,0.021912,0.366325,29.626652,0.000000
from_init,,30.0,1,0.1172,0.012240,0.012407,0.060172,0.453443,0.041626,0.188361,0.402761,0.031314,0.485241,41.108822,0.000000
from_init,,45.0,1,0.1180,0.028999,0.017642,0.086453,0.698382,0.062017,0.266958,0.604194,0.050713,0.748766,63.286705,0.000000
from_init,,60.0,1,0.1176,0.052405,0.021607,0.106556,0.915656,0.079647,0.343277,0.675449,0.071630,1.070611,86.598083,0.000000
from_init,,75.0,1,0.1185,0.080237,0.024333,0.125503,0.743230,0.094230,0.328791,0.743230,0.093357,1.445608,111.510864,0.000000
from_init,,90.0,1,0.1181,0.108816,0.026153,0.138344,0.786827,0.105564,0.361773,0.691620,0.114382,1.723244,138.875366,0.000000
from_init,,110.0,1,0.1184,0.141468,0.029294,0.158967,0.804569,0.123342,0.400866,0.804569,0.150281,2.266068,183.416199,0.000000
from_init,,135.0,1,0.1180,0.170119,0.034886,0.180684,0.841908,0.146664,0.439246,0.806473,0.197845,2.968792,250.625320,0.000000
progressive,_N2,5.0,2,0.2593,0.000276,0.002050,0.009815,0.067511,0.006427,0.027821,0.059973,0.004032,0.077256,5.420504,0.000000
progressive,_N2,10.0,2,0.2081,0.001144,0.004117,0.019527,0.137798,0.013068,0.056663,0.122612,0.008634,0.154130,11.937478,0.000000
progressive,_N2,15.0,2,0.2063,0.002663,0.006181,0.029615,0.210616,0.019866,0.087021,0.187638,0.013433,0.233886,18.501034,0.000000
progressive,_N2,22.0,2,0.2064,0.005975,0.009029,0.043631,0.316250,0.029545,0.131665,0.281861,0.020395,0.343199,27.747713,0.000000
progressive,_N2,30.0,2,0.2053,0.011560,0.012159,0.059477,0.441151,0.040676,0.184315,0.391848,0.029050,0.449699,38.410145,0.000000
progressive,_N2,45.0,2,0.2062,0.027302,0.017375,0.085947,0.682037,0.060668,0.268704,0.582485,0.046862,0.692788,58.755299,0.000000
progressive,_N2,60.0,2,0.2074,0.049109,0.021345,0.105083,0.907840,0.077881,0.325550,0.652340,0.065879,0.959282,79.710838,0.000000
progressive,_N2,75.0,2,0.2059,0.074683,0.024021,0.118716,0.765760,0.091375,0.342221,0.765760,0.085497,1.291932,101.496681,0.000000
progressive,_N2,90.0,2,0.2087,0.100575,0.025810,0.132997,0.811904,0.102265,0.343557,0.700889,0.104101,1.595749,124.415985,0.000000
progressive,_N2,110.0,2,0.2060,0.128029,0.028343,0.141301,0.782620,0.115406,0.394964,0.782620,0.131591,1.963149,157.853394,0.000000
progressive,_N2,135.0,2,0.2066,0.158799,0.033480,0.170109,0.730319,0.133869,0.409222,0.709575,0.170415,2.596219,209.128281,0.000000
progressive,_N4,5.0,4,0.4467,0.000240,0.001911,0.009399,0.065292,0.006056,0.025570,0.057080,0.003402,0.065677,4.442656,0.000000
progressive,_N4,10.0,4,0.3851,0.000998,0.003835,0.018955,0.133471,0.012311,0.052430,0.116745,0.007263,0.132338,9.916686,0.000000
progressive,_N4,15.0,4,0.3847,0.002324,0.005751,0.028685,0.204318,0.018702,0.079306,0.178667,0.011284,0.197191,15.393960,0.000000
progressive,_N4,22.0,4,0.3844,0.005211,0.008380,0.041927,0.307410,0.027748,0.120343,0.268201,0.017046,0.294341,23.029018,0.000000
progressive,_N4,30.0,4,0.3841,0.010060,0.011229,0.055879,0.429675,0.037994,0.170002,0.372079,0.024038,0.394468,31.697477,0.000000
progressive,_N4,45.0,4,0.3849,0.023536,0.015843,0.078871,0.663987,0.055887,0.245820,0.548847,0.038409,0.592887,47.782299,0.000000
progressive,_N4,60.0,4,0.3856,0.041687,0.019222,0.093890,0.841409,0.070041,0.285232,0.630303,0.053586,0.801906,63.697727,0.000000
progressive,_N4,75.0,4,0.3843,0.062289,0.021591,0.107834,0.770754,0.079919,0.325334,0.770754,0.069035,1.083573,79.642159,0.000000
progressive,_N4,90.0,4,0.3856,0.082823,0.023616,0.116909,0.784026,0.087896,0.310033,0.721367,0.083512,1.333452,96.001556,0.000000
progressive,_N4,110.0,4,0.3864,0.105021,0.027197,0.123764,0.707635,0.098339,0.336060,0.636598,0.104025,1.624262,119.627785,0.000000
progressive,_N4,135.0,4,0.3990,0.129944,0.034376,0.161225,0.766441,0.119981,0.388872,0.766441,0.135518,2.064734,155.013504,0.000000
progressive,_N8,5.0,8,0.7916,0.000202,0.001734,0.008568,0.061699,0.005588,0.022285,0.053836,0.002617,0.052683,3.185593,0.000000
