mode,angle,cam,psnr_vs_ref,ssim_vs_ref,lpips_alex_vs_ref
from_init,5,3,52.1204,0.99978,0.00020
from_init,10,3,44.5831,0.99888,0.00091
from_init,15,3,41.3793,0.99786,0.00178
from_init,22,3,39.4467,0.99689,0.00216
from_init,30,3,38.2529,0.99647,0.00298
from_init,45,3,33.9098,0.98711,0.00746
from_init,60,3,28.5565,0.95560,0.01457
from_init,75,3,25.8367,0.93062,0.02950
from_init,90,3,24.6738,0.91757,0.03944
from_init,110,3,24.1257,0.90995,0.04131
from_init,135,3,24.3341,0.91094,0.04267
progressive_N2,5,3,54.3545,0.99987,0.00012
progressive_N2,10,3,46.1986,0.99923,0.00065
progressive_N2,15,3,42.7996,0.99848,0.00131
progressive_N2,22,3,40.6716,0.99771,0.00175
progressive_N2,30,3,38.9593,0.99702,0.00260
progressive_N2,45,3,32.6183,0.98200,0.00855
progressive_N2,60,3,27.6538,0.94874,0.01665
progressive_N2,75,3,25.0673,0.92418,0.03640
progressive_N2,90,3,23.8024,0.91023,0.04823
progressive_N2,110,3,22.9834,0.89832,0.05689
progressive_N2,135,3,22.8537,0.89764,0.06203
progressive_N4,5,3,65.5801,0.99999,0.00001
progressive_N4,10,3,52.8357,0.99983,0.00015
progressive_N4,15,3,48.7662,0.99964,0.00033
progressive_N4,22,3,47.1719,0.99960,0.00040
progressive_N4,30,3,44.6251,0.99942,0.00069
progressive_N4,45,3,34.4592,0.98811,0.00612
progressive_N4,60,3,28.8037,0.95713,0.01339
progressive_N4,75,3,26.1520,0.93344,0.02692
progressive_N4,90,3,25.0347,0.92136,0.03566
progressive_N4,110,3,24.6307,0.91544,0.03679
progressive_N4,135,3,25.0769,0.91796,0.03729
progressive_N8,5,3,61.2566,0.99997,0.00003
progressive_N8,10,3,65.7113,0.99999,0.00001
progressive_N8,15,3,57.9384,0.99996,0.00004
progressive_N8,22,3,55.6744,0.99995,0.00006
progressive_N8,30,3,50.2382,0.99980,0.00022
progressive_N8,45,3,38.0169,0.99449,0.00328
progressive_N8,60,3,31.5277,0.97526,0.00791
progressive_N8,75,3,28.7068,0.95409,0.01522
progressive_N8,90,3,27.7431,0.94456,0.01763
progressive_N8,110,3,28.0250,0.94486,0.01490
progressive_N8,135,3,28.8532,0.95071,0.01498
