mode,tag,angle,steps,solve_time_s,arap_error,edge_stretch_mean,edge_stretch_p95,edge_stretch_max,edge_stretch_region_mean,edge_stretch_region_p95,edge_stretch_region_max,gs_stretch_mean,gs_stretch_p95,gs_stretch_max,handle_residual
iterative,,5.0,5,0.5355,0.000008,0.000151,0.000565,0.020343,0.002498,0.009915,0.020343,0.002358,0.057238,1.577145,0.000000
iterative,,10.0,10,0.9421,0.000035,0.000312,0.001296,0.041098,0.005669,0.020520,0.041098,0.004655,0.124096,4.035655,0.000000
iterative,,15.0,15,1.4015,0.000085,0.000504,0.002118,0.062577,0.009544,0.032152,0.062577,0.006909,0.191659,5.929856,0.000000
iterative,,22.0,22,2.0428,0.000204,0.000809,0.003204,0.093961,0.016029,0.046438,0.093961,0.009985,0.287644,7.345347,0.000000
iterative,,30.0,30,2.7763,0.000424,0.001203,0.004892,0.131006,0.024803,0.068012,0.131006,0.013693,0.379379,6.439507,0.000000
iterative,,45.0,45,4.1569,0.001139,0.002020,0.007183,0.199620,0.044567,0.113860,0.199620,0.033432,0.778198,16.451855,0.000000
iterative,,60.0,60,5.5402,0.002280,0.002796,0.009537,0.260878,0.065417,0.158526,0.260878,0.136596,1.753456,113.245499,0.000000
iterative,,75.0,75,6.9424,0.003810,0.003450,0.010991,0.307124,0.084373,0.198611,0.307124,0.221738,2.390592,196.987625,0.000000
iterative,,90.0,90,8.3416,0.005651,0.003963,0.013742,0.334683,0.099430,0.244006,0.334683,0.239943,2.810580,220.027771,0.000000
iterative,,110.0,110,10.2086,0.008482,0.004527,0.013928,0.349922,0.115247,0.292323,0.349922,0.273493,4.418295,230.413528,0.000000
iterative,,135.0,135,12.4816,0.012297,0.005075,0.013806,0.457507,0.129270,0.341642,0.457507,0.264154,4.335895,233.656647,0.000000
from_init,,5.0,1,0.1567,0.000009,0.000149,0.000545,0.021630,0.002585,0.011048,0.021630,0.002459,0.063455,1.577426,0.000000
from_init,,10.0,1,0.1218,0.000038,0.000301,0.001129,0.043971,0.005881,0.022880,0.043971,0.004684,0.128024,3.972278,0.000000
from_init,,15.0,1,0.1206,0.000090,0.000484,0.001974,0.066833,0.009907,0.033883,0.066833,0.006934,0.200927,5.679925,0.000000
from_init,,22.0,1,0.1198,0.000215,0.000796,0.003202,0.099226,0.016689,0.050574,0.099226,0.010086,0.296707,6.661908,0.000000
from_init,,30.0,1,0.1198,0.000450,0.001219,0.004695,0.136172,0.026098,0.071824,0.136172,0.014083,0.400767,5.303411,0.000000
from_init,,45.0,1,0.1195,0.001253,0.002205,0.008574,0.203413,0.048226,0.119867,0.203413,0.033343,0.809116,14.859550,0.000000
from_init,,60.0,1,0.1204,0.002657,0.003371,0.012445,0.263896,0.074736,0.169500,0.263896,0.111888,1.867661,84.242996,0.000000
