node_num,mode,angle,leak_mean,leak_p95,leak_max
64,iterative,45,0.0158,0.0299,0.0311
64,iterative,90,0.0416,0.0932,0.1026
64,from_init,45,0.0090,0.0249,0.0307
64,from_init,90,0.0206,0.0501,0.0672
128,iterative,45,0.0359,0.0997,0.1106
128,iterative,90,0.0767,0.2131,0.2375
128,from_init,45,0.0166,0.0276,0.0505
128,from_init,90,0.0350,0.0569,0.1057
512,iterative,45,0.0320,0.1388,0.2570
512,iterative,90,0.0924,0.3841,0.6948
512,from_init,45,0.0287,0.1273,0.2816
512,from_init,90,0.0557,0.2516,0.5296
1024,iterative,45,0.0569,0.1880,0.4206
1024,iterative,90,0.1239,0.5457,0.7839
1024,from_init,45,0.0490,0.2523,0.3809
1024,from_init,90,0.0973,0.4882,0.6967
2048,iterative,45,0.0792,0.3407,0.4350
2048,iterative,90,0.2358,1.2608,1.4952
2048,from_init,45,0.0377,0.3000,0.3708
2048,from_init,90,0.0710,0.5627,0.6865
